text,emotion
i crave something thrilling and mysterious tonight,mystery
"Work was rough, I’m stressed and craving something chill",stressed
"Let’s watch a goofy comedy, I could use laughs",comedy
want a suspenseful mystery with twists,mystery
just need something funny to lift me,comedy
I’m in a tense mood and want a thriller vibe,horror
In the mood for a spooky horror flick,horror
feels like a perfect action pack night,horror
looking for a lighthearted chick flick,comedy
"Romantic mood in the air, need a heartfelt tale",romantic
I’m in the mood for a heartwarming romance,romantic
"my heart aches, could use a romantic vibe",romantic
I’m in the mood for a tense thriller,mystery
"Nervous and sad, looking for a comforting story",sad
"feeling hopeful, think a feel-good film could help",uplifting
"laughing at goofy stuff, bring on the comedy",comedy
totally exhausted need rest and a vibe reset,tired
"I am so angry right now, need something light",angry
 craving a suspenseful mystery thriller,mystery
in the mood for a spooky horror showdown,horror
"could use a quiet night in, peaceful vibes",calm
"I feel angry about the latest news, need distraction",angry
Feeling hopeful and want an uplifting story,uplifting
cranky and tired after a long day,tired
Mystery movie night would be perfect right now,mystery
In the mood for romance and warm feelings,romantic
looking for a quirky comedy to lift mood,comedy
"Calm night in sounds nice, maybe a gentle drama",calm
"tired of chaos, want simple comfort",calm
feeling great and wanna chat about movies,happy
horror that actually nails the scare factor,horror
I’m craving quirky humor and easygoing vibes,comedy
give me something thrilling and mysterious tonight,mystery
"feeling hopeful and content, share something sweet",happy
I’m feeling happy today and want something light,happy
"Feeling happy after the win, want an upbeat flick",happy
I want a romantic night in with a good movie,romantic
"Calm and cozy vibes, maybe a light drama",calm
"calm and cozy, maybe something light and chill",calm
totally wiped out just need a nap soon,tired
feeling hopeful about new plans,uplifting
I crave a mystery with clever twists,mystery
"I’m not sure what to watch, maybe a mix of genres",mystery
I want to watch a romantic movie tonight,romantic
In the mood for a creepy horror setup,horror
"Work was stressful, need something relaxing",stressed
"current vibe is stressed, need a break",stressed
like something thrilling but not scary,mystery
feeling great and need some laughs,happy
need something light and funny right now,comedy
I am really sad and could use some comfort,sad
"stressed out, looking for a thriller to distract me",stressed
"Feeling sad, hoping for a tearjerker to connect",sad
want something light and romantic tonight,romantic
"spooky vibes needed, something scary please",horror
weekend mood: relaxed and easygoing,calm
let's escape into a suspenseful mystery film,mystery
I feel content and want something gentle,calm
so hype about this new comedy release,comedy
im feeling stressed and could use a gentle comedy,stressed
"feeling buoyant, bring on something fun",happy
I want something charming and romantic tonight,romantic
need something heartwarming and kind,calm
"I’m worn out and want a soft, comforting film",calm
"man, I’m so angry rn, inner peace please",angry
"unsettled by the news, need a creepy movie",horror
totally exhausted need a nap and space,tired
vindicated and happy after that win,happy
